id,herb_hindi,synonyms,herb_english,botanical_name,varga_category,classical_properties,raw_karma_sanskrit,english_symptoms,hindi_symptoms,blocking_issues,warnings
BPN_1089,अथ दुग्धसेवनस्य समयविशेषेण गुणविशेषानाह,,,"वृष्यं बृंहणमग्निदीपनकरं पूर्वाह्णकाले पयो मध्याह्ने तु बलावहं कफहरं पित्तापहं दीपनम् |

बाले वृद्धिकरं क्षये क्षयकरं वृद्धेषु रेतोवहं रात्रौ पथ्यमनेकदोषशमनं क्षीरं सदा सेव्येत ||३६||

वदन्ति पेयं निशि केवलं पयो भोज्यं न तेनेह सहौदनादिकम् |

भवत्यजीर्णे निशि पीतशर्करा क्षीराल्पपानस्य तु शेषमुत्सृजेत् ||३७||

विदाहीन्यन्नपानानि दिवा भुङ्क्ते हि यन्नरः |

तद्विदाहप्रशान्त्यर्थं रात्रौ क्षीरं सदा पिबेत् ||३८||

दीप्तानले कृशे पुंसि वातवृद्धे पयःप्रिये |

मतं हिततमं पथ्यं सद्यःशुक्रकरं यतः ||३९||",दुग्धवर्गः,,"पूर्वाह्नकाले - वृष्य, बृंहण, अग्निदीपनकर ; मध्याह्ने - बलावह, कफहर, पित्तापह, दीपन वाले वृद्धिकर, क्षयेऽक्षयकर, वृद्धेषु रेतोवह, रात्रौ पथ्यमनेकदोषशमन, चक्षुर्हित, दीप्तानलकृषवालवृद्धपयःप्रियेषु सद्यः शुक्रकरं दुग्धं हितं",,,COMMENTARY_AS_HEADWORD|HEADWORD_TOO_LONG|MULTI_ENTITY_OR_GROUP_HEADWORD,MISSING_CLASSICAL_PROPERTIES|UNVERIFIED_LEGACY_BOTANICAL_NAME
BPN_1097,स्वादु,,,,दधिवर्गः,"Rasa: व्यक्त -मधुररस, अव्यक्त-आम्लरस | Vipaka: मधुर","अभिष्यन्दि, वृष्य, मेदकफावह, वातघ्न, रक्त-पित्तप्रसादन",,,CONTEXT_DEPENDENT_HEADWORD,
BPN_1098,स्वाद्वम्लम्,,,,दधिवर्गः,"Rasa: मधुर, कषाय",,,,NO_KARMA_FOR_RECOMMENDATION,
BPN_1102,पक्वदुग्धजातस्य दधि,,,,दधिवर्गः,"Rasa: मधुर | Guna: गुरु, स्निग्ध | Vipaka: मधुर","श्लेष्मल, वातपित्तनुत् , अभिश्यन्दि, वृष्य, अस्रदूषक",,,MULTI_ENTITY_OR_GROUP_HEADWORD,
BPN_1105,शर्करादिसहितस्य दधि,,,,दधिवर्गः,"Guna: लघु, शीतल","सङ्ग्राहि, वातल, विष्टम्भि, दीपन, रुच्य, ग्रहणीरोगनाशन",,,MULTI_ENTITY_OR_GROUP_HEADWORD,
BPN_1106,अथ गालितदध्नो गुणानाह,,,,दधिवर्गः,"Rasa: मधुर | Guna: स्निग्ध, गुरु","वातघ्न, कफकृत्, बलपुष्टिकर, रुच्य, नातिपित्तकृत्",,,COMMENTARY_AS_HEADWORD|MULTI_ENTITY_OR_GROUP_HEADWORD,
BPN_1109,अथ रात्रौ दधिभक्षणस्य निषेधमाह,,,,दधिवर्गः,,"न नक्तं दधि भुञ्जित न चाप्यघृतशर्करं, नामुद्गसूपं नाक्षौद्रं नोष्णं नामलकैर्विना |",,,COMMENTARY_AS_HEADWORD|HEADWORD_TOO_LONG|MULTI_ENTITY_OR_GROUP_HEADWORD,MISSING_CLASSICAL_PROPERTIES
BPN_1110,अथ ऋतुविशेषेण दध्नो विधिनिषेधावाह,,,,दधिवर्गः,,"हेमन्ते शिशिरे वर्षासु च शस्यते , शरत्-ग्रीष्म-वसन्तेषु प्रायः विगर्हित",,,COMMENTARY_AS_HEADWORD|HEADWORD_TOO_LONG|MULTI_ENTITY_OR_GROUP_HEADWORD,MISSING_CLASSICAL_PROPERTIES
BPN_1111,अथ विधिमन्तरेण दधिसेवने दुर्गुणानाह,,,,दधिवर्गः,,ज्वर-असृक्पित्त-विसर्प-कुष्ठ-पाण्डु-अमय -भ्रम-कामलां च प्राप्नुयात्,,,COMMENTARY_AS_HEADWORD|HEADWORD_TOO_LONG|MULTI_ENTITY_OR_GROUP_HEADWORD,MISSING_CLASSICAL_PROPERTIES
BPN_1114,तक्रम्,"कषाय, आम्ल",,,तक्रवर्गः,"Rasa: लघु | Guna: उष्ण | Virya: मधुर | Vipaka: ग्राहि, दीपनं, वृष्यं, प्रीणनं, वातनाशनम् । ग्रहण्यादिमतां पथ्यं, न पित्तप्रकोपणम् । कफापहम् ।",,,,NO_KARMA_FOR_RECOMMENDATION,
BPN_1115,छच्छिका,लवण,,,तक्रवर्गः,"Rasa: लघु, शीतल | Vipaka: पित्त-श्रम-तृषाहरी, वातनुत्, कफकृत्, दीपनी ।",,,,NO_KARMA_FOR_RECOMMENDATION,
BPN_1116,समुद्ध्रुतघृतं,,,,तक्रवर्गः,Rasa: लघु | Vipaka: समुद्ध्रुतघृतं पथ्यं लघु विशेषतः ।,,,,NO_KARMA_FOR_RECOMMENDATION,
BPN_1117,स्तोकोद्ध्रुतघृतं,,,,तक्रवर्गः,Rasa: गुरु | Vipaka: स्तोकोद्धृतघृतं वृष्यं कफापहम् ।,,,,NO_KARMA_FOR_RECOMMENDATION,
BPN_1118,अनुद्ध्रुतघृतं,,,,तक्रवर्गः,Rasa: गुरु | Vipaka: अनुद्धृतघृतं सान्द्रं गुरु पुष्टि-कफप्रदम् ।,,,,NO_KARMA_FOR_RECOMMENDATION,
BPN_1119,"म्रक्षण, सरज, हैयङ्गवीन, नवनीतक",,,,नवनीतवर्गः,Vipaka: हितं गव्यं वृष्यं वर्णबलाग्निकृत् । संग्राहि वात-पित्त-असृक्क्षयार्शो-अर्दितकासहृत् । बालके वृद्धे तद्धितम् । विशषात् अमृतं शिशोः ।,,,,HEADWORD_TOO_LONG|MULTI_ENTITY_OR_GROUP_HEADWORD|NO_KARMA_FOR_RECOMMENDATION,
BPN_1120,अथ माहिषनवनीतस्य गुणानाह,,,,नवनीतवर्गः,Rasa: गुरु | Vipaka: वात-श्लेष्मकरं गुरु । दाह-पित्त-श्रमहरम् । मेदः शुक्रविवर्द्धनम् ।,,,,COMMENTARY_AS_HEADWORD|MULTI_ENTITY_OR_GROUP_HEADWORD|NO_KARMA_FOR_RECOMMENDATION,
