herb_sanskrit,varga_category,synonyms,classical_properties,raw_karma_sanskrit,english_disease,english_herb,botanical_name,english_guess,source_text,source_verse_ids
तेजवती,हरीतक्यादिवर्गः,"तेजस्विनी, तेजवती, तेजोह्वा, तेजनी","Rasa: कटु, तिक्त | Virya: उष्ण","कफ-श्वास-कासा-आस्यामय-वातहृत्, पाचनी, रुचिवह्निप्रदीपिनी",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0081
ज्योतिष्मती,हरीतक्यादिवर्गः,"ज्योतिष्मती, कष्टमी, ज्योतिष्का, कङ्गुनी, पारावतपदी, पिण्या, लता, ककुन्दिनी","Rasa: कटु, तिक्त | Guna: तीक्ष्ण | Virya: उष्ण","सरा, कफसमीरजित्, वामनी, वह्निबुद्धिस्मृतिप्रदा",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0082
कुष्ठम्,हरीतक्यादिवर्गः,"कुष्ठ, रोगाह्वय, वाप्य, परिभाव्य, उत्पल","Rasa: कटु, मधुर, तिक्त | Guna: लघु | Virya: उष्ण","शुक्रल, वाता-अस्र-वीसर्प-कास-कुष्ठ-मरुत्- कफह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0083
पुष्करमूलम्,हरीतक्यादिवर्गः,"पुष्करमूल, पौष्कर, पुष्कर, पद्मपत्र, काश्मीर, कुष्ठभेद","Rasa: कटु, तिक्त","वात-कफ-ज्वरापह, शोथ-अरुचि-श्वासा-त्पार्श्वशूलनुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0084
कटुपर्णी,हरीतक्यादिवर्गः,"कटुपर्णी, हैमवती, हेमक्षीरी, हिमावती, हेमाह्वा, पीतदुग्धा",Rasa: तिक्त,"रेचनी, भेदिनी, उत्वलेशकारिणी, कृमि-कण्डू-विष-आनाह-कफ-पित्ता-आस्र-कुष्ठनुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0085
कर्कशृङ्गी,हरीतक्यादिवर्गः,"शृङ्गी, कर्कटश्रुङ्गी, कुलीरविषाणिका, अजश्रुङ्गी, चक्रा, कर्कटाख्या","Rasa: कषाय, तिक्त | Virya: उष्ण",कफ-वात-क्षय-ज्वर-श्वासो-उर्ध्व-वात-तृट्कास-हिक्काऽ-अरुचि-र्वमीन्हर,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0086
कट्फलम्,हरीतक्यादिवर्गः,"कटफल, सोमवल्क, कैटर्य, कुम्भिका, श्रीपर्णिका, कुमुदिका, भद्रा, भद्रवती","Rasa: कषाय, तिक्त, कटु",वात-कफ-ज्वर-श्वास-प्रमेहा-आर्श-कास-कण्ठामया-अरुचीहर,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0087
पाषणभेद,हरीतक्यादिवर्गः,,"Rasa: तिक्त, कषाय | Virya: शीत","अश्मघ्न, बस्तिशोधन, भेदन, दोष-आर्शो-गुल्म-कृच्छ्रा-अश्म-हृद्रुजह, योनिरोगा प्रमेह-प्लीह-शूल-व्रणहर",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0089
धातकी,हरीतक्यादिवर्गः,"धातकी, धातुपुष्पी, ताम्रपुष्पी, कुञ्जरा, सुभिक्षा, बहुपुष्पी, वह्निज्वाला","Rasa: कटु, कषाय | Guna: लघु | Virya: शीत,","मृदुकृत्, तृष्णा-अतीसार-पित्ता-अस्र-विष-क्रिमि-विसर्पजित्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0090
मञ्जिष्ठा,हरीतक्यादिवर्गः,"मंजिष्ठा, विकसा, जिङ्गी, समङ्गा, कालमेषिका, मण्डूकपर्णी, भण्डीरी, भण्डी, योजनवल्ली, रसायनी, अरुणा, काला, रक्ताङ्गी, रक्तयष्टिका, भण्डीतकी, गण्डीरी, मञ्जूषा, वस्ररञ्जिनी","Rasa: मधुर, तिक्त, कषाय | Guna: गुरु | Virya: उष्ण","स्वरवर्णकृत्, विष-श्लेष्म-शोथ-योनि -अक्षि-कर्णरुक्-रक्ता-अतीसार-कुष्ठा-अस्र-वीसर्प-व्रण-मेहनुत्",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0091
कुसुम्भम्,हरीतक्यादिवर्गः,"कुसुम्भ, वह्निशिख, वस्ररञ्जक",,"वातल, कृच्छ्र-रक्त-पित्त-कफापह",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0092
लाक्षा,हरीतक्यादिवर्गः,"लाक्षा, पलङ्कषा, अलक्त, याव, वृक्षामय, जतु","Rasa: तुवर | Guna: स्निग्धा, लघु | Virya: हिमा","वर्ण्या, बल्या, कफ-पित्ता-अस्र-हिक्का-कास-ज्वरप्रणुत्, व्रणोरःक्षत-वीसर्प-कृमि-कुष्ठ-गदापहा, अलक्तक, व्यङ्गनाशन",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0093
हरिद्रा,हरीतक्यादिवर्गः,"हरिद्रा, काञ्चनी, पीता, निशा, वरवर्णिनी, कृमिघ्नी, हल्दी, योषित्प्रिया, हट्टविलासिनी","Rasa: कटु, तिक्त | Guna: रूक्ष | Virya: उष्ण","कफपित्तनुत्, वर्ण्या, त्वग्दोष-मेहा-अस्र-शोथ-पाण्डु-व्रणापहा",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0094
कर्पूरहरिद्रा,हरीतक्यादिवर्गः,"दार्वीभेदा, आम्रगन्धा, सुरभीदरु, दारु, कर्पूरा, पद्मपत्रा सुरीमत्, सुरतारका","Rasa: मधुरा, तिक्ता | Virya: शीता","वातला, पित्तहृत्, सर्वकण्डूविनाशिनी",,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0095
वनहरिद्रा,हरीतक्यादिवर्गः,,,कन्द-कुष्ठवातास्रनाशन,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0096
दारुहरिद्रा,हरीतक्यादिवर्गः,"दार्वी, दारुहरिद्रा, पर्जन्या, पर्जनी, कटकङ्कटेरी, पीता, पचम्पचा, कालीयक, कालेयक, पीतद्रु, हारिद्रु, पीतदारु, पितक",,नेत्रकर्णास्यरोगनुत्,,,,,Bhavaprakasha Nighantu (legacy professor dataset; test use),BPN_0097
